Date,Number,Frame Count,Dataset Type,Raw Km,Labeled Km,Raw Zip,Labeled Zip,Car,Truck,Bus,Bicycle,Horse_and_Buggy,Pedestrian,Pedestrian_With_Object,Animals,Garbage_Containers_on_Wheels,Traffic_Guidance_Objects,Snow points removed,Road snow cover,Cam 00 lens snow cover
2018_03_06,1,100,TRAIN,0.59,0.21,8.10,1.40,191,25,0,0,0,4,0,0,0,20,26,None,None
2018_03_06,2,100,TRAIN,0.42,0.36,8.50,1.40,60,4,1,0,0,2,0,0,2,0,340,None,None
2018_03_06,5,100,TRAIN,0.21,0.00,8.10,1.30,31,3,3,0,0,8,0,0,3,0,396,None,Partial
2018_03_06,6,100,TRAIN,0.73,0.35,8.30,1.40,32,3,3,0,0,0,0,0,0,4,500,None,Partial
2018_03_06,8,100,TRAIN,0.08,0.09,8.40,1.40,149,4,4,0,0,2,0,0,0,0,265,None,Partial
2018_03_06,9,100,TRAIN,0.45,0.32,8.50,1.40,143,8,1,0,0,10,0,0,0,0,235,None,Partial
2018_03_06,10,100,TRAIN,0.51,0.31,8.60,1.40,131,1,1,0,0,3,0,0,0,2,75,None,Partial
2018_03_06,12,100,TRAIN,0.66,0.32,8.60,1.40,75,2,1,0,0,1,0,0,2,0,245,None,None
2018_03_06,13,50,TRAIN,0.79,0.21,8.50,0.71,112,8,0,0,0,0,0,0,3,0,124,None,None
2018_03_06,15,50,TRAIN,0.76,0.17,8.20,0.68,21,0,1,0,0,0,0,0,0,0,269,None,None
2018_03_06,16,100,TRAIN,0.53,0.21,8.20,1.30,34,1,0,0,0,0,0,0,0,0,278,None,None
2018_03_06,18,100,TRAIN,0.10,0.00,8.50,1.40,83,1,1,0,0,5,0,0,0,1,137,None,None
2018_03_07,1,50,TRAIN,0.69,0.11,8.00,0.69,166,6,0,0,0,0,0,0,0,24,557,None,Partial
2018_03_07,2,100,TRAIN,0.51,0.20,8.20,1.40,341,16,0,0,0,2,0,0,1,8,472,None,Partial
2018_03_07,4,100,TRAIN,0.35,0.13,8.20,1.30,142,0,4,0,0,53,0,0,0,0,42,None,None
2018_03_07,5,100,TRAIN,0.25,0.12,8.50,1.40,26,1,2,10,0,115,0,0,15,0,100,None,Partial
2018_03_07,6,100,TRAIN,0.11,0.06,8.10,1.40,240,5,4,0,0,25,0,0,0,0,42,None,Partial
2018_03_07,7,100,TRAIN,0.37,0.07,8.20,1.40,245,12,3,0,0,30,0,0,0,0,182,None,Partial
2019_02_27,2,71,TRAIN,0.14,0.14,6.00,0.98,117,17,1,0,0,0,0,0,0,0,204,Covered,None
2019_02_27,3,100,TRAIN,0.00,0.00,5.30,1.40,74,3,2,0,0,3,0,0,0,0,401,Covered,None
2019_02_27,4,100,TRAIN,0.14,0.10,5.30,1.40,74,3,2,0,0,3,0,0,0,0,236,Covered,None
2019_02_27,5,99,TRAIN,0.08,0.08,4.30,1.30,97,7,3,0,0,4,0,0,0,0,163,Covered,None
2019_02_27,6,100,TRAIN,0.55,0.31,7.90,1.40,229,31,0,0,0,1,0,0,0,0,590,Covered,None
2019_02_27,8,96,TRAIN,0.24,0.24,5.40,1.30,30,6,0,0,0,0,0,0,0,13,496,Covered,None
2019_02_27,9,100,TRAIN,0.38,0.27,5.90,1.20,15,0,0,0,0,0,0,0,0,0,803,Covered,None
2019_02_27,10,91,TRAIN,0.21,0.21,4.10,1.20,27,1,0,0,0,0,0,0,0,0,587,Covered,None
2019_02_27,11,67,TRAIN,0.05,0.06,3.00,0.90,289,1,0,0,0,22,0,0,2,0,971,Covered,None
2019_02_27,13,100,TRAIN,0.01,0.01,5.30,1.40,66,5,0,0,0,40,0,0,0,0,527,Covered,None
2019_02_27,15,89,TRAIN,0.03,0.03,4.10,1.20,18,0,2,1,0,73,0,0,3,0,310,Covered,None
